week,defense,ofensive ability,shooting,offense,rebs,total
67        PG D:10,00     Oa:9,81      Sh:6,13      O:8,70      R:6,28      T:9,17      
68        PG D:10,01     Oa:9,82      Sh:6,26      O:8,75      R:6,28      T:9,20      
69        PG D:10,16     Oa:9,82      Sh:6,27      O:8,76      R:6,31      T:9,27      
70        PG D:10,30     Oa:9,83      Sh:6,28      O:8,77      R:6,33      T:9,33      
71        PG D:10,45     Oa:9,84      Sh:6,29      O:8,78      R:6,35      T:9,40      
72        PG D:10,59     Oa:9,85      Sh:6,30      O:8,78      R:6,37      T:9,46      
73        PG D:10,60     Oa:9,95      Sh:6,31      O:8,86      R:6,38      T:9,51      
74        PG D:10,61     Oa:10,05     Sh:6,31      O:8,93      R:6,39      T:9,55      
75        PG D:10,62     Oa:10,16     Sh:6,32      O:9,01      R:6,40      T:9,60      
76        PG D:10,63     Oa:10,26     Sh:6,33      O:9,08      R:6,41      T:9,64      
77        PG D:10,63     Oa:10,35     Sh:6,34      O:9,15      R:6,42      T:9,69      
78        PG D:10,64     Oa:10,45     Sh:6,35      O:9,22      R:6,43      T:9,73      
79        PG D:10,65     Oa:10,55     Sh:6,36      O:9,29      R:6,44      T:9,78      
80        PG D:10,74     Oa:10,61     Sh:6,37      O:9,33      R:6,44      T:9,84      
81        PG D:10,83     Oa:10,66     Sh:6,37      O:9,37      R:6,45      T:9,90      
82        PG D:10,91     Oa:10,71     Sh:6,38      O:9,41      R:6,46      T:9,96      
83        PG D:11,00     Oa:10,77     Sh:6,39      O:9,45      R:6,47      T:10,01     
84        PG D:11,01     Oa:10,77     Sh:6,60      O:9,52      R:6,48      T:10,06     
85        PG D:11,02     Oa:10,78     Sh:6,73      O:9,57      R:6,49      T:10,09     
86        PG D:11,16     Oa:10,79     Sh:6,73      O:9,57      R:6,51      T:10,15     
87        PG D:11,29     Oa:10,80     Sh:6,74      O:9,58      R:6,53      T:10,21     
88        PG D:11,43     Oa:10,81     Sh:6,75      O:9,59      R:6,55      T:10,27     
89        PG D:11,57     Oa:10,82     Sh:6,76      O:9,60      R:6,57      T:10,32     
90        PG D:11,57     Oa:10,91     Sh:6,77      O:9,67      R:6,58      T:10,37     
91        PG D:11,58     Oa:11,01     Sh:6,77      O:9,74      R:6,59      T:10,41     
92        PG D:11,59     Oa:11,10     Sh:6,78      O:9,81      R:6,59      T:10,46     
93        PG D:11,60     Oa:11,20     Sh:6,79      O:9,88      R:6,60      T:10,50     
94        PG D:11,61     Oa:11,29     Sh:6,80      O:9,94      R:6,61      T:10,54     
95        PG D:11,61     Oa:11,39     Sh:6,81      O:10,01     R:6,62      T:10,58     
96        PG D:11,62     Oa:11,48     Sh:6,81      O:10,08     R:6,63      T:10,63     
97        PG D:11,70     Oa:11,53     Sh:6,82      O:10,12     R:6,63      T:10,68     
98        PG D:11,79     Oa:11,58     Sh:6,83      O:10,16     R:6,64      T:10,74     
99        PG D:11,87     Oa:11,63     Sh:6,84      O:10,19     R:6,65      T:10,79     
100       PG D:11,95     Oa:11,68     Sh:6,85      O:10,23     R:6,66      T:10,85     
101       PG D:11,96     Oa:11,69     Sh:7,04      O:10,29     R:6,66      T:10,89     
102       PG D:11,97     Oa:11,70     Sh:7,17      O:10,34     R:6,67      T:10,92     
103       PG D:12,10     Oa:11,70     Sh:7,17      O:10,34     R:6,69      T:10,97     
104       PG D:12,23     Oa:11,71     Sh:7,18      O:10,35     R:6,71      T:11,03     
105       PG D:12,36     Oa:11,72     Sh:7,19      O:10,36     R:6,73      T:11,09     
106       PG D:12,49     Oa:11,73     Sh:7,20      O:10,37     R:6,75      T:11,14     
107       PG D:12,50     Oa:11,82     Sh:7,20      O:10,43     R:6,76      T:11,19     
108       PG D:12,51     Oa:11,91     Sh:7,21      O:10,50     R:6,77      T:11,23     
109       PG D:12,51     Oa:12,00     Sh:7,22      O:10,57     R:6,77      T:11,27     
110       PG D:12,52     Oa:12,09     Sh:7,23      O:10,63     R:6,78      T:11,31     
111       PG D:12,53     Oa:12,18     Sh:7,23      O:10,70     R:6,79      T:11,35     
112       PG D:12,54     Oa:12,27     Sh:7,24      O:10,76     R:6,80      T:11,39     
113       PG D:12,54     Oa:12,36     Sh:7,25      O:10,83     R:6,80      T:11,43     
114       PG D:12,62     Oa:12,41     Sh:7,26      O:10,86     R:6,81      T:11,49     
